Common name,Lat_Min,Lat_Max,Lon_Min,Lon_Max,Year_Min,Year_Max,Count
Scaup,56.642892,57.706555,-3.486791,-1.7763490000000002,1972.0,2010.0,413
Scopoli's Shearwater,57.140393,57.140393,-2.042943,-2.042943,2005.0,2005.0,2
Scottish Crossbill,56.954913,57.628761,-4.056036,-2.241221,1992.0,2001.0,48
Sedge Warbler,56.753240000000005,57.687994999999994,-4.022568,-1.7763490000000002,1984.0,2010.0,668
Shag,54.826663,57.703343000000004,-4.344306,-1.7514060000000002,1985.0,2009.0,537
Shelduck,56.378389,57.697315,-3.735379,-1.7514060000000002,1980.0,2010.0,946
Shore Lark,57.138147,57.67484,-3.678743,-1.8928049999999998,1970.0,1979.0,24
Short-eared Owl,56.17,57.7,-3.89,-1.75141,1960.0,2008.0,422
Short-toed Lark,57.131403000000006,57.140393,-2.07599,-2.042943,2010.0,2010.0,6
Shoveler,56.25951,57.681819,-3.678743,-1.7763490000000002,1963.0,2010.0,610
Siberian Chiffchaff,57.625418999999994,57.625418999999994,-1.892832,-1.892832,2010.0,2010.0,1
Siberian Stonechat,56.987565000000004,56.987565000000004,-2.17441,-2.17441,2010.0,2010.0,2
Siskin,56.191572,57.948139000000005,-4.36015,-1.7763490000000002,1900.0,2010.0,714
Skua Species,57.212249,57.472565,-2.0595830000000004,-1.776568,2005.0,2005.0,5
Skylark,56.25951,57.697322,-3.826485,-1.7514060000000002,1900.0,2010.0,1347
Slavonian Grebe,56.8,57.7,-3.8,-1.75141,1960.0,2010.0,300
Smew,56.986920999999995,57.634401000000004,-3.583126,-1.7929869999999999,1995.0,2010.0,101
Snipe,56.18234399999999,57.697315,-4.2218480000000005,-1.7514060000000002,1900.0,2010.0,1236
Snow Bunting,56.8,57.7,-3.8,-1.75141,1900.0,2010.0,437
Snow Goose,57.121775,57.652379,-2.406252,-1.7929869999999999,1983.0,2009.0,267
Snowy Owl,56.914452000000004,57.391842000000004,-3.7253629999999998,-1.8602400000000001,1900.0,2007.0,11
Song Thrush,56.360068000000005,57.816866000000005,-4.020127,-1.7514060000000002,1900.0,2010.0,1156
Sooty Shearwater,56.762398,57.715167,-2.418718,-1.7514060000000002,1995.0,2010.0,345
Sparrowhawk,56.191572,57.697315,-4.0730260000000005,-1.7514060000000002,1900.0,2010.0,1167
Spoonbill,57.311075,57.625418999999994,-2.0099560000000003,-1.8593810000000002,1986.0,2008.0,157
Spotted Crake,57.065180000000005,57.61645,-2.91772,-1.9096,2000.0,2000.0,3
Spotted Flycatcher,56.027563,57.687994999999994,-3.8300300000000003,-1.7763490000000002,1900.0,2010.0,412
